perfil,dia,prevalencia,erro_padrao,suavizado,derivada1,piso_ruido,e_choque
Iceberg invertido,5,8.695652173913043,5.875338475584142,11.220120459250893,1.8575627271279416,6.970617988125399,0
Iceberg invertido,6,22.727272727272727,8.934606739851096,19.489930359495578,8.269809900244685,6.970617988125399,1
Iceberg invertido,7,23.809523809523807,9.29428640903365,23.809523809523807,4.319593450028229,6.970617988125399,0
Everest invertido,1,0.0,0.0,0.0,,1.3277552012905214,0
Everest invertido,2,0.0,0.0,0.0,0.0,1.3277552012905214,0
Everest invertido,3,0.0,0.0,1.1904761904761905,1.1904761904761905,1.3277552012905214,0
Everest invertido,4,4.761904761904762,4.647143204516825,2.380952380952381,1.1904761904761905,1.3277552012905214,0
Everest invertido,5,0.0,0.0,1.1904761904761905,-1.1904761904761905,1.3277552012905214,0
Everest invertido,6,0.0,0.0,1.1904761904761905,0.0,1.3277552012905214,0
Everest invertido,7,4.761904761904762,4.647143204516825,4.761904761904762,3.571428571428571,1.3277552012905214,1
Favorável,1,44.44444444444444,9.562921842487448,44.44444444444444,,9.238913327546678,0
Favorável,2,23.076923076923077,8.262863931224224,31.3034188034188,-13.141025641025642,9.238913327546678,1
Favorável,3,34.61538461538461,9.330087000722768,30.21978021978022,-1.0836385836385816,9.238913327546678,0
Favorável,4,28.57142857142857,9.858079419176489,30.548256091734352,0.32847587195413297,9.238913327546678,0
Favorável,5,30.434782608695656,9.594387554215139,29.178430265386787,-1.3698258263475651,9.238913327546678,0
Favorável,6,27.27272727272727,9.495144870310792,26.00696405044231,-3.171466214944477,9.238913327546678,0
Favorável,7,19.047619047619047,8.56890867468988,19.047619047619047,-6.959345002823262,9.238913327546678,0
Neutra,1,40.74074074074074,9.456070200062598,40.74074074074074,,9.148488352707227,0
Neutra,2,34.61538461538461,9.330087000722768,32.3005698005698,-8.440170940170944,9.148488352707227,0
Neutra,3,19.230769230769234,7.729201466043274,26.602564102564102,-5.698005698005694,9.148488352707227,0
Neutra,4,33.33333333333333,10.286889997472795,27.996098104793752,1.39353400222965,9.148488352707227,0
Neutra,5,26.08695652173913,9.156053715170007,25.922266139657445,-2.073831965136307,9.148488352707227,0
Neutra,6,18.181818181818183,8.223036670302644,22.755505364201017,-3.166760775456428,9.148488352707227,0
Neutra,7,28.57142857142857,9.858079419176489,28.57142857142857,5.815923207227552,9.148488352707227,0
De risco,1,14.814814814814813,6.836727459191831,14.814814814814813,,9.821532551780223,0
De risco,2,42.30769230769231,9.689066801072672,36.396011396011396,21.581196581196583,9.821532551780223,1
De risco,3,46.15384615384615,9.776752450803732,43.17765567765568,6.781644281644283,9.821532551780223,0
De risco,4,38.095238095238095,10.597116957413082,41.45564580347189,-1.7220098741837901,9.821532551780223,0
De risco,5,43.47826086956522,10.336652638557517,44.89930359495577,3.4436577914838793,9.821532551780223,0
De risco,6,54.54545454545454,10.615894693111677,51.23753058535667,6.338226990400905,9.821532551780223,0
De risco,7,52.38095238095239,10.898516862311034,52.38095238095239,1.1434217955957138,9.821532551780223,0
