variavel,dia,media,erro_padrao,suavizado,derivada1,derivada2,piso_ruido,e_choque
Fad.Física,7,7.555555555555555,0.36106532066211017,7.555555555555555,1.0771574440052696,0.733558802308802,0.4050402077774678,1
Fad.Mental,1,4.666666666666667,0.4151682458530184,4.666666666666667,,,0.5434849118207263,0
Fad.Mental,2,4.57051282051282,0.48743468349840074,4.572435897435897,-0.09423076923077023,,0.5434849118207263,0
Fad.Mental,3,4.482051282051282,0.525265031252985,4.487622100122101,-0.0848137973137959,0.009416971916974326,0.5434849118207263,0
Fad.Mental,4,4.415873015873016,0.5683570448324563,4.411963821202952,-0.07565827891914889,0.009155518394647011,0.5434849118207263,0
Fad.Mental,5,4.334057971014493,0.5780605647645143,4.397133603111865,-0.01483021809108731,0.06082806082806158,0.5434849118207263,0
Fad.Mental,6,4.504545454545454,0.5985976294268842,4.56296975970889,0.16583615659702566,0.18066637468811297,0.5434849118207263,0
Fad.Mental,7,4.908730158730159,0.6315111831168254,4.908730158730159,0.34576039902126876,0.1799242424242431,0.5434849118207263,0
Epworth,1,8.407407407407407,0.6835662710319143,8.407407407407407,,,0.9435978601116818,0
Epworth,2,9.104487179487181,0.8375909480875565,9.052332621082623,0.6449252136752168,,0.9435978601116818,0
Epworth,3,9.592948717948719,0.9999197288624274,9.541842185592186,0.4895095645095626,-0.1554156491656542,0.9435978601116818,0
Epworth,4,9.876984126984128,1.0048266297264958,9.838178518341563,0.29633633274937665,-0.19317323176018597,0.9435978601116818,0
Epworth,5,10.005797101449277,0.9235194852706842,9.696387006713096,-0.14179151162846715,-0.4381278443778438,0.9435978601116818,0
Epworth,6,8.896969696969697,0.96211274723299,9.829894441307484,0.13350743459438874,0.2752989462228559,0.9435978601116818,0
Epworth,7,11.519841269841269,1.1936492105697034,11.519841269841269,1.6899468285337846,1.556439393939396,0.9435978601116818,1
PSS,1,22.666666666666668,1.0329334765373648,22.666666666666668,,,0.9408339953304699,0
PSS,2,22.742307692307694,0.8202184568130483,22.42516025641026,-0.2415064102564095,,0.9408339953304699,0
PSS,3,21.549358974358974,0.923993321824958,22.05450244200244,-0.3706578144078172,-0.1291514041514077,0.9408339953304699,0
PSS,4,22.376984126984127,0.9362380227124872,21.67329557519775,-0.3812068668046926,-0.010549052396875425,0.9408339953304699,0
PSS,5,20.389855072463767,0.9166233904806941,21.35186296191731,-0.3214326132804395,0.05977425352425314,0.9408339953304699,0
PSS,6,22.250757575757575,1.0543648695331862,21.60081874647092,0.2489557845536119,0.5703883978340514,0.9408339953304699,0
