id,autores,ano,titulo,veiculo,doi,url_doi,pubmed,url_pubmed,open_access,url_oa,abnt,usada_em
22,"KENDALL, M",1939,The problem of m rankings,,10.1214/aoms/1177732186,https://doi.org/10.1214/aoms/1177732186,,,,,"KENDALL, M. G.; SMITH, B. B. The problem of m rankings. The Annals of Mathematical Statistics, v. 10, n. 3, p. 275-287, 1939.",ambos
23,"LEW, P",2023,Cross-cultural validation of the Malaysian Mood Scale and tests of between-group mood differences,international journal of environmental research and public health,10.3390/ijerph20043348,https://doi.org/10.3390/ijerph20043348,,,,,"LEW, P. C. F.; PARSONS-SMITH, R. L.; LAMONT-MILLS, A. et al. Cross-cultural validation of the Malaysian Mood Scale and tests of between-group mood differences. International Journal of Environmental Research and Public Health, v. 20, n. 4, 3348, 2023.",ambos
24,"LINDBERG, K",2022,Strength and power testing of athletes: a multicenter study of test-retest reliability,,10.1123/ijspp.2021-0558,https://doi.org/10.1123/ijspp.2021-0558,,,,,"LINDBERG, K.; SOLBERG, P.; BJØRNSEN, T. et al. Strength and power testing of athletes: a multicenter study of test-retest reliability. International Journal of Sports Physiology and Performance, v. 17, n. 7, p. 1103-1110, 2022.",ambos
25,"LOBO, J",2026,From athlete monitoring to responsible decision support in sports analytics,,10.55860/9c1pxv60,https://doi.org/10.55860/9c1pxv60,,,,,"LOBO, J. From athlete monitoring to responsible decision support in sports analytics. Journal of Human Sport and Exercise, v. 21, n. 4, p. 1261, 2026.",ambos
26,"LOCHBAUM, M",2021,The Profile of Mood States and athletic performance: a meta-analysis of published studies,european journal of investigation in health psychology and education,10.3390/ejihpe11010005,https://doi.org/10.3390/ejihpe11010005,,,,,"LOCHBAUM, M. et al. The Profile of Mood States and athletic performance: a meta-analysis of published studies. European Journal of Investigation in Health, Psychology and Education, v. 11, n. 1, p. 50-70, 2021.",ambos
27,"LUOJUMÄKI, R",2026,"Exploring mood profile clusters across physical activity level, gender and age",,10.1002/ejsc.70131,https://doi.org/10.1002/ejsc.70131,,,,,"LUOJUMÄKI, R.; RUIZ, M. C.; ADIE, J. et al. Exploring mood profile clusters across physical activity level, gender and age. European Journal of Sport Science, 2026.",ambos
28,"MANDL, M",2024,Addressing researcher degrees of freedom through minP adjustment,,10.1186/s12874-024-02279-2,https://doi.org/10.1186/s12874-024-02279-2,,,,,"MANDL, M. M.; BECKER-PENNRICH, A.; HINSKE, L. C. et al. Addressing researcher degrees of freedom through minP adjustment. BMC Medical Research Methodology, v. 24, 2024.",ambos
29,"McFADDEN, B",2021,Psychological and physiological changes in response to the cumulative demands of a women's division I collegiate soccer season,the journal of strength and conditioning research,10.1519/jsc.0000000000004062,https://doi.org/10.1519/jsc.0000000000004062,,,,,"McFADDEN, B. A.; WALKER, A. J.; BOZZINI, B. N. et al. Psychological and physiological changes in response to the cumulative demands of a women's division I collegiate soccer season. Journal of Strength and Conditioning Research, v. 35, n. 12, p. 3405-3414, 2021.",ambos
30,"McGUIGAN, H",2022,"Does education improve adherence to a training monitoring program in recreational athletes? International Journal of Sports Science & Coaching, v",,10.1177/17479541211070789,https://doi.org/10.1177/17479541211070789,,,,,"McGUIGAN, H.; HASSMÉN, P.; ROSIĆ, N. et al. Does education improve adherence to a training monitoring program in recreational athletes? International Journal of Sports Science & Coaching, v. 18, n. 1, p. 101-113, 2022.",ambos
31,"McNEMAR, Q",1947,Note on the sampling error of the difference between correlated proportions or percentages,,10.1007/BF02295996,https://doi.org/10.1007/BF02295996,,,,,"McNEMAR, Q. Note on the sampling error of the difference between correlated proportions or percentages. Psychometrika, v. 12, n. 2, p. 153-157, 1947.",ambos
32,"MEEUSEN, R",2013,"Prevention, diagnosis, and treatment of the overtraining syndrome: joint consensus statement of the European College of Sport Science and the American College of Sports Medicine",european journal of sport science,10.1080/17461391.2012.730061,https://doi.org/10.1080/17461391.2012.730061,,,,,"MEEUSEN, R. et al. Prevention, diagnosis, and treatment of the overtraining syndrome: joint consensus statement of the European College of Sport Science and the American College of Sports Medicine. Medicine and Science in Sports and Exercise, v. 45, n. 1, p. 186-205, 2013.",ambos
33,"MORGAN, W",1985,Selected psychological factors limiting performance: a mental health model,,,,,,,,"MORGAN, W. P. Selected psychological factors limiting performance: a mental health model. In: CLARKE, D. H.; ECKERT, H. M. (org.). Limits of human performance. Champaign: Human Kinetics, 1985. p. 70-80.",ambos
34,"MORGAN, W",1980,Test of champions: the iceberg profile,,,,,,,,"MORGAN, W. P. Test of champions: the iceberg profile. Psychology Today, v. 14, p. 92-108, 1980.",ambos
35,"NEWANS, T",2022,The utility of mixed models in sport science: a call for further adoption in longitudinal data sets,,10.1123/ijspp.2021-0496,https://doi.org/10.1123/ijspp.2021-0496,,,,,"NEWANS, T.; BELLINGER, P.; DROVANDI, C. et al. The utility of mixed models in sport science: a call for further adoption in longitudinal data sets. International Journal of Sports Physiology and Performance, v. 17, n. 8, p. 1289-1295, 2022.",ambos
36,"PAGE, E",1963,Ordered hypotheses for multiple treatments: a significance test for linear ranks,journal of the american statistical association,10.1080/01621459.1963.10500843,https://doi.org/10.1080/01621459.1963.10500843,,,,,"PAGE, E. B. Ordered hypotheses for multiple treatments: a significance test for linear ranks. Journal of the American Statistical Association, v. 58, n. 301, p. 216-230, 1963.",ambos
37,"PARSONS-SMITH, R",2017,Identification and description of novel mood profile clusters,frontiers in psychology,10.3389/fpsyg.2017.01958,https://doi.org/10.3389/fpsyg.2017.01958,,,,,"PARSONS-SMITH, R. L.; TERRY, P. C.; MACHIN, M. A. Identification and description of novel mood profile clusters. Frontiers in Psychology, v. 8, 1958, 2017.",ambos
