id,dominio,via,unidade,variavel,recorte,teste,estatistica,rotulo_estatistica,gl,p,p_ajustado,metodo_ajuste,efeito,rotulo_efeito,ic_inf,ic_sup,n,significativo,artigo
24,descritiva,paramétrica,U-AD,Fadiga,normalidade,Shapiro-Wilk,0.9457155388020064,W,,5.435012156668453e-06,,,,,,,166,1,ambos
25,descritiva,descritiva,U-AD,Fadiga,efeito de piso,percentual no valor mínimo,6.626506024096386,%,,,,,,,,,166,0,ambos
26,descritiva,robusta,U-AD,Confusão,geral,média,0.5030120481927711,média,,,,,1.0947491589702556,DP,0.3364727816835105,0.6695513147020318,166,0,ambos
27,descritiva,robusta,U-AD,Confusão,geral,mediana,0.0,mediana,,,,,0.5,AIQ,0.0,0.0,166,0,ambos
28,descritiva,robusta,U-AD,Confusão,geral,média aparada 20%,0.115,média aparada 20%,,,,,0.0,MAD,,,166,0,ambos
29,descritiva,paramétrica,U-AD,Confusão,normalidade,Shapiro-Wilk,0.5249385201619776,W,,4.6910433875207455e-21,,,,,,,166,1,ambos
30,descritiva,descritiva,U-AD,Confusão,efeito de piso,percentual no valor mínimo,68.67469879518072,%,,,,,,,,,166,1,ambos
31,descritiva,robusta,U-AD,TMD,geral,média,4.207831325301205,média,,,,,9.151280691720102,DP,2.8156881466273105,5.599974503975099,166,0,ambos
32,descritiva,robusta,U-AD,TMD,geral,mediana,1.75,mediana,,,,,11.0,AIQ,0.75,3.5,166,0,ambos
33,descritiva,robusta,U-AD,TMD,geral,média aparada 20%,2.36,média aparada 20%,,,,,7.412999999999999,MAD,,,166,0,ambos
34,descritiva,paramétrica,U-AD,TMD,normalidade,Shapiro-Wilk,0.8689050947421113,W,,7.34845227149991e-11,,,,,,,166,1,ambos
35,descritiva,descritiva,U-AD,TMD,efeito de piso,percentual no valor mínimo,0.6024096385542169,%,,,,,,,,,166,0,ambos
36,descritiva,robusta,U-AD,Fad.Física,geral,média,5.804216867469879,média,,,,,2.164292939608924,DP,5.474972715309325,6.133461019630434,166,0,ambos
37,descritiva,robusta,U-AD,Fad.Física,geral,mediana,6.0,mediana,,,,,2.5,AIQ,5.75,6.5,166,0,ambos
38,descritiva,robusta,U-AD,Fad.Física,geral,média aparada 20%,5.98,média aparada 20%,,,,,2.2239,MAD,,,166,0,ambos
39,descritiva,paramétrica,U-AD,Fad.Física,normalidade,Shapiro-Wilk,0.9752657858289263,W,,0.00455811914370637,,,,,,,166,1,ambos
40,descritiva,descritiva,U-AD,Fad.Física,efeito de piso,percentual no valor mínimo,0.6024096385542169,%,,,,,,,,,166,0,ambos
41,descritiva,robusta,U-AD,Fad.Mental,geral,média,4.563253012048193,média,,,,,2.6135843765167963,DP,4.165660174037165,4.960845850059221,166,0,ambos
42,descritiva,robusta,U-AD,Fad.Mental,geral,mediana,4.5,mediana,,,,,4.0,AIQ,4.0,5.0,166,0,ambos
43,descritiva,robusta,U-AD,Fad.Mental,geral,média aparada 20%,4.495,média aparada 20%,,,,,2.9652,MAD,,,166,0,ambos
44,descritiva,paramétrica,U-AD,Fad.Mental,normalidade,Shapiro-Wilk,0.9740481957225137,W,,0.003292039299477027,,,,,,,166,1,ambos
45,descritiva,descritiva,U-AD,Fad.Mental,efeito de piso,percentual no valor mínimo,4.819277108433735,%,,,,,,,,,166,0,ambos
46,descritiva,robusta,U-AD,Epworth,geral,média,9.759036144578314,média,,,,,4.703229996362675,DP,9.043554915476156,10.474517373680472,166,0,ambos
47,descritiva,robusta,U-AD,Epworth,geral,mediana,10.0,mediana,,,,,6.5,AIQ,9.5,11.0,166,0,ambos
48,descritiva,robusta,U-AD,Epworth,geral,média aparada 20%,10.02,média aparada 20%,,,,,4.8184499999999995,MAD,,,166,0,ambos
49,descritiva,paramétrica,U-AD,Epworth,normalidade,Shapiro-Wilk,0.9715205955647539,W,,0.0017003068666411561,,,,,,,166,1,ambos
50,descritiva,descritiva,U-AD,Epworth,efeito de piso,percentual no valor mínimo,4.819277108433735,%,,,,,,,,,166,0,ambos
51,descritiva,robusta,U-AD,PSS,geral,média,21.8855421686747,média,,,,,4.743624302414078,DP,21.163915935444585,22.607168401904815,166,0,ambos
52,descritiva,robusta,U-AD,PSS,geral,mediana,22.0,mediana,,,,,4.5,AIQ,21.5,23.0,166,0,ambos
53,descritiva,robusta,U-AD,PSS,geral,média aparada 20%,22.195,média aparada 20%,,,,,3.7064999999999997,MAD,,,166,0,ambos
54,descritiva,paramétrica,U-AD,PSS,normalidade,Shapiro-Wilk,0.9781721065528153,W,,0.010095290028339355,,,,,,,166,1,ambos
55,descritiva,descritiva,U-AD,PSS,efeito de piso,percentual no valor mínimo,1.2048192771084338,%,,,,,,,,,166,0,ambos
56,confiabilidade,paramétrica,U-AD,Tensão,entre dias,"CCI (1,1)",0.6432691777536284,CCI,,,,,2.90549041833647,MVD,,,27,0,ambos
57,confiabilidade,paramétrica,U-AD,Depressão,entre dias,"CCI (1,1)",0.7555658273771905,CCI,,,,,3.027807175624703,MVD,,,27,0,ambos
58,confiabilidade,paramétrica,U-AD,Raiva,entre dias,"CCI (1,1)",0.33434850209792877,CCI,,,,,5.854549053714856,MVD,,,27,0,ambos
59,confiabilidade,paramétrica,U-AD,Vigor,entre dias,"CCI (1,1)",0.5962866790241231,CCI,,,,,5.382183089373609,MVD,,,27,0,ambos
60,confiabilidade,paramétrica,U-AD,Fadiga,entre dias,"CCI (1,1)",0.6673580153172762,CCI,,,,,5.969875558423456,MVD,,,27,0,ambos
61,confiabilidade,paramétrica,U-AD,Confusão,entre dias,"CCI (1,1)",0.36948146162965956,CCI,,,,,2.40954265865726,MVD,,,27,0,ambos
62,confiabilidade,paramétrica,U-AD,TMD,entre dias,"CCI (1,1)",0.6497979351627006,CCI,,,,,15.011092350278208,MVD,,,27,0,ambos
63,confiabilidade,paramétrica,U-AD,Fad.Física,entre dias,"CCI (1,1)",0.48038730081060577,CCI,,,,,4.324411266506136,MVD,,,27,0,ambos
64,confiabilidade,paramétrica,U-AD,Fad.Mental,entre dias,"CCI (1,1)",0.7799580787079475,CCI,,,,,3.3982889920327257,MVD,,,27,0,ambos
65,confiabilidade,paramétrica,U-AD,Epworth,entre dias,"CCI (1,1)",0.723793356917705,CCI,,,,,6.851479238432506,MVD,,,27,0,ambos
66,confiabilidade,paramétrica,U-AD,PSS,entre dias,"CCI (1,1)",0.6499892312428218,CCI,,,,,7.778969304488339,MVD,,,27,0,ambos
67,série,robusta,U-AD,Tensão,D1→D7,piso de ruído,-1.2195767195767198,Δ,,,,,3.4764775717411407,|Δ|/piso,,,166,1,ambos
68,série,robusta,U-AD,Depressão,D1→D7,piso de ruído,0.23015873015873023,Δ,,,,,0.503195909640252,|Δ|/piso,,,166,0,ambos
69,série,robusta,U-AD,Raiva,D1→D7,piso de ruído,0.7936507936507939,Δ,,,,,1.5439926565437352,|Δ|/piso,,,166,1,ambos
70,série,robusta,U-AD,Vigor,D1→D7,piso de ruído,-3.1798941798941796,Δ,,,,,5.259306766019068,|Δ|/piso,,,166,1,ambos
71,série,robusta,U-AD,Fadiga,D1→D7,piso de ruído,3.515873015873016,Δ,,,,,4.6056465422035,|Δ|/piso,,,166,1,ambos
72,série,robusta,U-AD,Confusão,D1→D7,piso de ruído,-0.4391534391534391,Δ,,,,,2.096097337704164,|Δ|/piso,,,166,1,ambos
73,série,robusta,U-AD,TMD,D1→D7,piso de ruído,6.060846560846562,Δ,,,,,3.2160591325479175,|Δ|/piso,,,166,1,ambos
74,série,robusta,U-AD,Fad.Física,D1→D7,piso de ruído,3.351851851851852,Δ,,,,,8.200460010364854,|Δ|/piso,,,166,1,ambos
75,série,robusta,U-AD,Fad.Mental,D1→D7,piso de ruído,0.23809523809523814,Δ,,,,,0.4322464241028771,|Δ|/piso,,,166,0,ambos
76,série,robusta,U-AD,Epworth,D1→D7,piso de ruído,3.116402116402117,Δ,,,,,3.214871272223426,|Δ|/piso,,,166,1,ambos
77,série,robusta,U-AD,PSS,D1→D7,piso de ruído,-1.0238095238095255,Δ,,,,,1.0591351775979492,|Δ|/piso,,,166,1,ambos
78,tendência,não paramétrica,U-AD,Tensão,D1..D7,Friedman,11.69610389610383,χ²,6,0.06910204267910008,,,0.10259740259740202,W de Kendall,,,19,0,ambos
79,tendência,não paramétrica,U-AD,Tensão,ordenada D1→D7,L de Page,-2.739513498876455,z,,0.0061530188011811315,,,,,,,19,1,ambos
80,contraste,não paramétrica,U-AD,Tensão,D1–D2,Wilcoxon,-0.3076923076923077,Δ,,0.4362749288405292,0.7254314503015594,Holm,0.15267620413811483,r,,,26,0,ambos
81,contraste,não paramétrica,U-AD,Tensão,D1–D3,Wilcoxon,-0.8846153846153846,Δ,,0.04407621289704037,0.17630485158816148,Holm,0.39485342201219686,r,,,26,0,ambos
82,contraste,não paramétrica,U-AD,Tensão,D1–D4,Wilcoxon,-0.7857142857142857,Δ,,0.24181048343385314,0.7254314503015594,Holm,0.2554182517585477,r,,,21,0,ambos
83,contraste,não paramétrica,U-AD,Tensão,D1–D5,Wilcoxon,-1.1304347826086956,Δ,,0.012716503123796215,0.07033525713103922,Holm,0.5195369208463536,r,,,23,0,ambos
84,contraste,não paramétrica,U-AD,Tensão,D1–D6,Wilcoxon,-0.5454545454545454,Δ,,0.3186892584352796,0.7254314503015594,Holm,0.2125941697030648,r,,,22,0,ambos
85,contraste,não paramétrica,U-AD,Tensão,D1–D7,Wilcoxon,-1.1666666666666667,Δ,,0.011722542855173204,0.07033525713103922,Holm,0.5499938233462375,r,,,21,0,ambos
86,tendência,não paramétrica,U-AD,Depressão,D1..D7,Friedman,2.545994065281821,χ²,6,0.8632851011483449,,,0.02233328127440194,W de Kendall,,,19,0,ambos
87,tendência,não paramétrica,U-AD,Depressão,ordenada D1→D7,L de Page,0.04013939192492974,z,,0.9679819968790588,,,,,,,19,0,ambos
88,contraste,não paramétrica,U-AD,Depressão,D1–D2,Wilcoxon,0.15384615384615385,Δ,,0.7082617468653534,1.0,Holm,0.0733850172941844,r,,,26,0,ambos
89,contraste,não paramétrica,U-AD,Depressão,D1–D3,Wilcoxon,-0.25,Δ,,0.3116930116579868,1.0,Holm,0.1984059800463593,r,,,26,0,ambos
90,contraste,não paramétrica,U-AD,Depressão,D1–D4,Wilcoxon,0.07142857142857142,Δ,,0.833181011613467,1.0,Holm,0.045961833054205606,r,,,21,0,ambos
91,contraste,não paramétrica,U-AD,Depressão,D1–D5,Wilcoxon,-0.2608695652173913,Δ,,0.28433161482530667,1.0,Holm,0.22324374052439294,r,,,23,0,ambos
92,contraste,não paramétrica,U-AD,Depressão,D1–D6,Wilcoxon,0.11363636363636363,Δ,,0.9496338058001703,1.0,Holm,0.013467173790125698,r,,,22,0,ambos
93,contraste,não paramétrica,U-AD,Depressão,D1–D7,Wilcoxon,0.23809523809523808,Δ,,0.7288622267992031,1.0,Holm,0.07564292299554264,r,,,21,0,ambos
94,tendência,não paramétrica,U-AD,Raiva,D1..D7,Friedman,7.801526717557223,χ²,6,0.2530076132300967,,,0.06843444489085283,W de Kendall,,,19,0,ambos
95,tendência,não paramétrica,U-AD,Raiva,ordenada D1→D7,L de Page,-1.52529689314733,z,,0.12718506235403315,,,,,,,19,0,ambos
96,contraste,não paramétrica,U-AD,Raiva,D1–D2,Wilcoxon,-0.15384615384615385,Δ,,0.9515716709756905,1.0,Holm,0.011910765315080327,r,,,26,0,ambos
97,contraste,não paramétrica,U-AD,Raiva,D1–D3,Wilcoxon,-0.19230769230769232,Δ,,0.9173004284234857,1.0,Holm,0.02036368483262984,r,,,26,0,ambos
98,contraste,não paramétrica,U-AD,Raiva,D1–D4,Wilcoxon,-0.7619047619047619,Δ,,0.2649691109681338,1.0,Holm,0.24325251693326347,r,,,21,0,ambos
