dominio,via,variavel,recorte,teste,p,p_ajustado,efeito,rotulo_efeito,n,artigo
associação,não paramétrica,Tensão×Depressão,geral,Spearman,0.001076001563895784,0.009684014075062057,,,166,ambos
associação,paramétrica,Tensão×Depressão,geral,Pearson,0.004988877614643201,0.029933265687859208,,,166,A2
associação,não paramétrica,Tensão×TMD,geral,Spearman,0.006369820989920156,0.04458874692944109,,,166,ambos
associação,paramétrica,Tensão×TMD,geral,Pearson,0.006551966628322657,0.032759833141613286,,,166,A2
associação,não paramétrica,Tensão×Vigor,geral,Spearman,0.00347557890088599,0.02780463120708792,,,166,ambos
associação,paramétrica,Tensão×Vigor,geral,Pearson,0.0007809579057684121,0.006327851789563053,,,166,A2
associação,não paramétrica,Vigor×Fadiga,geral,Spearman,2.085540777911412e-06,2.0855407779114118e-05,,,166,ambos
associação,paramétrica,Vigor×Fadiga,geral,Pearson,2.9338180976065925e-07,3.5205817171279107e-06,,,166,A2
associação,não paramétrica,Vigor×TMD,geral,Spearman,1.1581018383165025e-18,2.316203676633005e-17,,,166,ambos
associação,paramétrica,Vigor×TMD,geral,Pearson,9.787708799559163e-14,1.5660334079294661e-12,,,166,A2
categórica,não paramétrica,Faixa de risco,migração pré→pós — TODOS,McNemar,0.008009942329880018,,16.0,entram − saem,119,ambos
contraste,não paramétrica,Confusão,D1–D5,Wilcoxon,0.004245648288725709,0.025473889732354253,0.5962071679117417,r,23,ambos
contraste,não paramétrica,Confusão,pré×pós — Amistoso,Wilcoxon,0.026856695507524397,,0.35,r,40,ambos
contraste,paramétrica,Confusão,D1→D7,t pareado,0.04634356349386346,,-0.4634716880769284,dz,21,A2
contraste,paramétrica,Confusão,pré×pós — Amistoso,t pareado,0.02603106579169088,,-0.3658614351970144,dz,40,A2
contraste,não paramétrica,Depressão,pré×pós — Técnico/força,Wilcoxon,0.010613156038105713,,0.5713565985620566,r,20,ambos
contraste,paramétrica,Depressão,pré×pós — Técnico/força,t pareado,0.019988561845980534,,0.5679060846796469,dz,20,A2
contraste,paramétrica,Epworth,D1→D7,t pareado,0.00583648721274614,,0.673261522600624,dz,21,A2
contraste,não paramétrica,Fad.Física,D1–D2,Wilcoxon,0.000343066247924532,0.001372264991698128,0.7021745648733965,r,26,ambos
contraste,não paramétrica,Fad.Física,D1–D3,Wilcoxon,0.00022571323792196137,0.001128566189609807,0.7233449005255079,r,26,ambos
contraste,não paramétrica,Fad.Física,D1–D4,Wilcoxon,0.0016885456987832165,0.003931226732980863,0.6852394744177404,r,21,ambos
contraste,não paramétrica,Fad.Física,D1–D5,Wilcoxon,0.003982487305499453,0.003982487305499453,0.600426758731003,r,23,ambos
contraste,não paramétrica,Fad.Física,D1–D6,Wilcoxon,0.0013104089109936211,0.003931226732980863,0.6851610925311983,r,22,ambos
contraste,não paramétrica,Fad.Física,D1–D7,Wilcoxon,5.79788598135036e-05,0.0003478731588810216,0.8774299692895285,r,21,ambos
contraste,paramétrica,Fad.Física,D1→D7,t pareado,5.3062069953977456e-08,,1.8359466229345138,dz,21,A2
contraste,não paramétrica,Fadiga,D1–D2,Wilcoxon,0.0007602657980366115,0.004561594788219669,0.6602974882458625,r,26,ambos
contraste,não paramétrica,Fadiga,D1–D7,Wilcoxon,0.0015528602863107439,0.007764301431553719,0.6905765298376496,r,21,ambos
contraste,não paramétrica,Fadiga,pré×pós — HIIT,Wilcoxon,5.777135857261376e-05,,0.5235851264662821,r,59,ambos
contraste,paramétrica,Fadiga,D1→D7,t pareado,0.0009701772274513513,,0.8428625789169224,dz,21,A2
contraste,paramétrica,Fadiga,pré×pós — HIIT,t pareado,4.4054706236514855e-05,,0.5752668437282558,dz,59,A2
contraste,não paramétrica,Raiva,entre estímulos,Friedman,0.020058727982721278,,0.17768595041322396,W,22,ambos
